-532.947366,-124.606423,317.500474,2.185736,-2.198173,-0.187969
-472.935252,-124.620910,317.459064,2.185785,-2.198229,-0.187852
-412.918371,-124.638450,317.443231,2.185856,-2.198239,-0.187794
-352.928932,-124.640232,317.445323,2.185933,-2.198172,-0.187797
-292.925999,-124.635768,317.424658,2.185928,-2.198254,-0.187790
-232.935584,-124.636417,317.459699,2.185893,-2.198150,-0.187927
-532.960195,-64.595254,317.491495,2.185743,-2.198160,-0.187995
-532.969254,-4.551464,317.491692,2.185636,-2.198274,-0.187989
-532.959156,55.425452,317.500245,2.185741,-2.198244,-0.188057
-532.943484,115.415463,317.499231,2.185738,-2.198271,-0.188012
-532.954176,175.382833,317.506364,2.185825,-2.198163,-0.188030
-532.945091,-124.608174,377.491971,2.185725,-2.198162,-0.187949
-532.935937,-124.610118,437.482868,2.185776,-2.198186,-0.187955
-532.952376,-124.605353,497.470263,2.185794,-2.198205,-0.187921
-532.950119,-124.605065,557.458367,2.185845,-2.198195,-0.187869
-532.940762,-124.614154,617.451491,2.185862,-2.198175,-0.187860
