-413.444254,-37.191183,556.350282,2.562635,-1.759902,-0.396745
-406.694567,-55.577822,552.311023,2.562680,-1.759891,-0.396775
-393.205824,-92.348526,544.206199,2.562622,-1.759870,-0.396821
-372.979432,-147.497549,532.047520,2.562602,-1.759915,-0.396851
-345.983274,-221.042686,515.819240,2.562633,-1.759851,-0.396800
-312.273569,-312.971509,495.554124,2.562565,-1.759854,-0.396833
-431.794496,-44.589754,559.288925,2.562653,-1.759891,-0.396628
-468.487624,-59.352966,565.224657,2.562647,-1.759945,-0.396664
-523.514242,-81.503995,574.143522,2.562611,-1.759956,-0.396721
-596.907366,-111.034398,585.993300,2.562613,-1.760018,-0.396655
-688.640533,-147.957416,600.828941,2.562604,-1.759976,-0.396652
-417.670638,-34.481034,537.010018,2.562616,-1.759895,-0.396840
-426.122775,-29.032071,498.288584,2.562586,-1.759942,-0.396800
-438.787137,-20.890742,440.212519,2.562601,-1.759913,-0.396786
-455.695868,-10.013445,362.798040,2.562592,-1.759866,-0.396807
-476.827284,3.566188,266.013563,2.562639,-1.759844,-0.396848
